4019
25000
5990
3313
S0331
4149
2500
4939
V130
58381
2724
25040
42731
4280
S8154
7153
57450
57420
E87967
99631
71536
S3893
53540
2859
5745
5742
4273
S5185
S5188
4111
V4581
V173
250
413
S9904
S4516
V641
5621
56212
2749
41071
5354
410
V1250
4589
V588
0091
0088
5849
2865
5859
2765
V1005
1916
7220
2848
920
9212
2875
03842
E88098
8509
7222
7804
0414
3652
7865
78650
53784
53190
2111
S2121
38181
3818
2113
S4542
56210
S5022
1550
5715
7295
71946
V1583
1460
5301
7330
S5421
EXPUNKNOWN
V671
V1002
V1007
6218
S9649
S6909
S6812
V6759
V1272
S4523
V675
53510
5351
5378
5739
07030
S403
S9907
01193
S5011
1551
V0261
2899
S4131
3661
4140
V707
41401
4139
S3606
S3722
S8856
S9929
5698
5690
V1582
S8853
V4582
41072
0705
5731
2880
07054
0798
7891
7832
E93179
30390
7806
2767
1369
36201
3572
43330
25050
25060
34590
2505
585
438
3458
S4513
S4525
0417
0416
36641
7910
25080
7854
25070
7907
7921
V718
S3959
S8622
S8411
S3995
S8415
99762
73027
44024
E87857
V4972
V070
V632
V090
04111
3371
S8412
S3820
S8417
4442
7071
56949
185
5589
S4903
7098
4559
7019
7464
4241
4270
S3521
S3961
S9391
S8872
S4223
S9905
S2252
S9199
4733
4739
78909
7890
4556
5640
S4945
7873
9964
S8155
E87819
9967
99673
E87829
34440
9981
3792
S8849
V1581
V422
7282
S9654
V643
4659
S3612
S232
4289
V433
V434
7240
274
4278
S0391
S9923
7292
7373
73730
41402
S8842
5206
S8108
S8051
S813
72252
7225
7802
7062
3743
3665
3613
3623
V025
4160
78057
7872
4822
7860
4870
S3891
S9671
S9604
S9390
6825
5355
7904
061
S8857
042
5939
4580
S4023
1963
1749
2893
4779
34280
4349
43491
72402
S0309
S8945
S0359
42781
E93427
V4509
5184
2729
S3601
4281
556
53089
5302
42732
7851
7199
75563
S8151
3620
S8046
S8086
S8026
S8147
7173
5356
5741
5761
57410
53560
25002
S5110
S8867
59010
5908
S3942
78703
2849
5781
2768
E94437
7823
411
V670
6159
6227
S6739
3621
1479
3804
V160
V705
7213
3009
3079
1541
E81475
9100
85401
850
04186
53500
7948
5350
436
S8201
S0445
3540
72703
7270
5251
V711
79099
7909
S2912
7856
V1052
59383
4732
38611
S3927
V812
6826
44381
72709
7388
435
4359
V138
5718
V127
7328
S8087
S8027
5838
7100
40390
58181
S5523
5818
58189
E87919
S3895
S9657
9966
9961
1820
6271
2504
3727
5789
S863
2511
43310
6118
217
5609
E87827
9971
5601
9974
S3615
S3613
S5493
5308
53081
S5732
59789
5978
S8917
2468
5851
E92899
8082
73841
2761
07999
2766
7260
3861
V132
V125
V717
7242
5409
S470
7869
B354
B356
B353
L0311
L97
L309
I10
D649
S2723
7102
4510
4538
2501
25010
